"district","year","week","tpr_district","tpr_status"
"Kampala District",2022,26,26.5980392156863,"3. 25-40%"
"Kampala District",2022,32,28.8174311926605,"3. 25-40%"
"Kampala District",2022,34,30.1228571428571,"3. 25-40%"
"Kampala District",2022,36,31.3504672897196,"3. 25-40%"
"Kampala District",2022,46,31.9425287356322,"3. 25-40%"
"Kampala District",2022,48,31.9791304347826,"3. 25-40%"
"Kampala District",2022,51,30.5943661971831,"3. 25-40%"
"Yumbe District",2022,1,69.6178571428571,"5. 55-70%"
"Yumbe District",2022,10,55.9434782608696,"5. 55-70%"
"Yumbe District",2022,11,51.5578947368421,"4. 40-55%"
"Yumbe District",2022,12,55.9590909090909,"5. 55-70%"
"Yumbe District",2022,13,53.2083333333333,"4. 40-55%"
"Yumbe District",2022,14,47.9928571428571,"4. 40-55%"
"Yumbe District",2022,15,46.8409090909091,"4. 40-55%"
"Yumbe District",2022,16,52.816,"4. 40-55%"
"Yumbe District",2022,17,57.4,"5. 55-70%"
"Yumbe District",2022,2,67.075,"5. 55-70%"
"Yumbe District",2022,22,71.184,"6. >70%"
"Yumbe District",2022,23,76.4038461538462,"6. >70%"
"Yumbe District",2022,24,71.3038461538462,"6. >70%"
"Yumbe District",2022,29,74.016,"6. >70%"
"Yumbe District",2022,3,66.8038461538462,"5. 55-70%"
"Yumbe District",2022,30,74.7740740740741,"6. >70%"
"Yumbe District",2022,32,71.3571428571429,"6. >70%"
"Yumbe District",2022,33,67.764,"5. 55-70%"
"Yumbe District",2022,34,66.7807692307692,"5. 55-70%"
"Yumbe District",2022,35,69.8407407407407,"5. 55-70%"
"Yumbe District",2022,36,72.944,"6. >70%"
"Yumbe District",2022,37,69.2566666666667,"5. 55-70%"
"Yumbe District",2022,38,72.6269230769231,"6. >70%"
"Yumbe District",2022,39,71.2965517241379,"6. >70%"
"Yumbe District",2022,4,67.09,"5. 55-70%"
"Yumbe District",2022,40,72.9551724137931,"6. >70%"
"Yumbe District",2022,41,71.051724137931,"6. >70%"
"Yumbe District",2022,43,70.0666666666667,"6. >70%"
"Yumbe District",2022,44,72.6807692307692,"6. >70%"
"Yumbe District",2022,45,67.19,"5. 55-70%"
"Yumbe District",2022,46,68.1529411764706,"5. 55-70%"
"Yumbe District",2022,47,70.985,"6. >70%"
"Yumbe District",2022,48,65.4869565217391,"5. 55-70%"
"Yumbe District",2022,49,66.1807692307692,"5. 55-70%"
"Yumbe District",2022,5,63.3875,"5. 55-70%"
"Yumbe District",2022,50,63.8833333333333,"5. 55-70%"
"Yumbe District",2022,51,57.952380952381,"5. 55-70%"
"Yumbe District",2022,52,63.575,"5. 55-70%"
"Yumbe District",2022,6,62.7481481481481,"5. 55-70%"
"Yumbe District",2022,7,63.8458333333333,"5. 55-70%"
"Yumbe District",2022,8,59.268,"5. 55-70%"
"Yumbe District",2022,9,56.8583333333333,"5. 55-70%"
"Pallisa District",2022,15,51.375,"4. 40-55%"
"Pallisa District",2022,27,61.775,"5. 55-70%"
"Pallisa District",2022,28,59.9777777777778,"5. 55-70%"
"Pallisa District",2022,29,58.54,"5. 55-70%"
"Pallisa District",2022,31,61.225,"5. 55-70%"
"Pallisa District",2022,32,53.35,"4. 40-55%"
"Pallisa District",2022,34,54.91,"4. 40-55%"
"Pallisa District",2022,36,63.86,"5. 55-70%"
"Pallisa District",2022,49,62.7714285714286,"5. 55-70%"
"Pallisa District",2022,51,55.95,"5. 55-70%"
"Ntoroko District",2022,1,43.55,"4. 40-55%"
"Ntoroko District",2022,10,56.0666666666667,"5. 55-70%"
"Ntoroko District",2022,12,52.3333333333333,"4. 40-55%"
"Ntoroko District",2022,14,28.95,"3. 25-40%"
"Ntoroko District",2022,15,37.3666666666667,"3. 25-40%"
